Time_Human,Time_Unix_ms,CPU_Load_1m,CPU_Freq_MHz,Core_0_%,Core_1_%,Core_2_%,Core_3_%,Core_4_%,Core_5_%,Core_6_%,Core_7_%,Core_8_%,Core_9_%,Core_10_%,Core_11_%,RAM_Used_%,Swap_Used_%,Disk_Write_MBps,Temp_C,Throttled
15:51:34.025,1775681494025,0.94,2996,3.0,1.7,4.2,2.1,3.0,0.4,2.6,0.0,4.3,4.3,6.7,3.4,71.1,46.7,0.0,56.0,N/A
15:51:34.525,1775681494525,0.94,1813,4.2,2.0,10.2,0.0,0.0,0.0,2.1,2.0,4.2,4.1,0.0,6.3,72.4,46.7,0.102,56.0,N/A
15:51:35.025,1775681495025,0.94,1340,22.4,0.0,6.2,7.7,6.2,4.0,6.3,0.0,15.7,16.3,12.2,8.0,72.9,46.7,0.0,56.0,N/A
15:51:35.525,1775681495525,0.94,1496,2.0,0.0,4.0,0.0,9.6,0.0,4.0,0.0,4.0,4.0,4.0,4.0,72.9,46.7,0.0,68.0,N/A
15:51:36.025,1775681496025,0.94,2441,8.0,2.0,6.3,0.0,14.0,2.0,6.1,0.0,12.0,13.2,11.8,10.0,73.0,46.7,0.5,68.0,N/A
15:51:36.525,1775681496525,0.94,2130,6.3,2.0,6.1,0.0,8.0,5.9,6.1,0.0,18.0,17.6,16.0,12.2,73.0,46.7,0.0,68.0,N/A
15:51:37.026,1775681497026,2.15,2126,20.4,20.4,27.5,14.3,24.5,27.1,26.5,20.0,34.7,32.7,30.6,28.6,74.3,46.7,0.0,68.0,N/A
15:51:37.526,1775681497526,2.15,1746,8.2,0.0,2.2,2.0,10.2,0.0,4.2,0.0,16.0,13.7,14.3,12.0,74.2,46.7,0.0,68.0,N/A
15:51:38.026,1775681498026,2.15,3610,36.7,15.7,26.5,6.1,18.8,13.5,27.1,34.0,30.6,27.5,25.5,25.5,72.2,46.7,0.375,68.0,N/A
15:51:38.526,1775681498526,2.15,2605,10.0,0.0,12.2,10.6,16.0,4.1,8.0,69.4,14.3,8.5,10.2,8.2,72.4,46.7,0.0,68.0,N/A
15:51:39.026,1775681499026,2.15,1904,30.0,34.7,19.6,62.5,35.4,25.0,51.1,26.0,40.0,33.3,40.0,35.4,72.4,46.7,0.266,68.0,N/A
15:51:39.526,1775681499526,2.15,1499,3.9,0.0,4.0,2.0,2.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0,72.3,46.7,0.008,68.0,N/A
15:51:40.026,1775681500026,2.15,696,7.5,0.0,2.0,2.1,3.9,5.9,2.0,3.9,2.0,3.9,4.0,2.0,72.1,46.7,0.0,68.0,N/A
15:51:40.526,1775681500526,2.15,903,5.8,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,72.1,46.7,0.0,68.0,N/A
15:51:41.026,1775681501026,2.15,886,2.1,0.0,2.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,3.9,4.0,72.1,46.7,2.859,68.0,N/A
15:51:41.526,1775681501526,2.15,840,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,72.1,46.7,0.0,68.0,N/A
15:51:42.027,1775681502027,1.97,1275,4.0,0.0,0.0,4.0,2.0,2.0,3.8,0.0,2.0,2.0,2.0,4.0,72.1,46.7,0.0,68.0,N/A
15:51:42.527,1775681502527,1.97,827,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,72.1,46.7,0.0,68.0,N/A
15:51:43.027,1775681503027,1.97,982,4.1,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,72.0,46.6,0.57,68.0,N/A
15:51:43.527,1775681503527,1.97,962,0.0,0.0,2.0,0.0,2.0,0.0,3.9,0.0,0.0,2.0,0.0,2.0,71.9,46.6,0.0,68.0,N/A
15:51:44.027,1775681504027,1.97,1432,5.9,0.0,0.0,2.0,3.9,4.0,0.0,0.0,3.8,2.0,3.9,0.0,71.9,46.6,0.102,68.0,N/A
