Time_Human,Time_Unix_ms,Current_A,Voltage_V
16:28:04.233,1775770084233,1.4,5.0
16:28:09.966,1775770089966,1.51,5.03
16:28:16.185,1775770096185,1.53,5.02
16:28:21.318,1775770101318,1.48,5.01
16:28:26.934,1775770106934,1.71,5.01
16:28:32.884,1775770112884,1.64,5.014
16:28:39.636,1775770119636,1.74,5
16:28:50.428,1775770130428,1.69,5.04
16:28:56.554,1775770136554,1.8,5.04
16:29:07.633,1775770147633,1.58,5.03
16:29:19.848,1775770159848,1.83,5.03
16:29:27.362,1775770167362,1.75,5.03
16:29:34.595,1775770174595,1.82,5.04
