id,frecuencia,dist_km
11001,94.9,3.116
11001,90.9,3.116
11001,96.9,3.143
11001,95.5,4.033
11001,103.9,4.944
11001,92.9,4.945
11001,98.5,4.998
11001,89.9,5.013
11001,104.4,5.024
11001,100.9,5.028
11001,97.9,5.028
11001,97.4,5.028
11001,99.9,5.028
11001,100.4,5.028
11001,102.9,5.028
11001,105.9,5.058
11001,106.9,5.105
11001,91.9,5.106
11001,95.9,5.13
11001,99.1,5.13
11001,90.4,5.135
11001,105.4,5.151
11001,88.9,5.242
11001,92.4,5.364
11001,89.4,6.076
11001,94.4,7.661
11001,88.4,7.763
11001,101.9,7.779
11001,107.9,7.783
11001,104.9,7.784
11001,93.9,7.804
11001,88.4,7.838
11001,88.1,9.025
25377,101.3,10.17
25377,88.1,10.546
11001,94.4,14.346
25286,88.5,14.761
25286,94.4,14.763
25214,107.4,15.564
11001,101.4,15.777
11001,93.4,16.876
11001,106.4,17.515
25473,106.4,18.335
25175,88.5,20.844
25175,106.4,20.847
25181,102.4,20.85
25754,107.4,21.887
25430,96.4,22.407
25181,88.3,23.461
25799,94.4,24.539
25841,103.8,25.305
25841,101.3,25.305
25178,106.6,26.148
25430,88.3,26.595
25758,98.2,26.862
25758,95.6,26.864
25785,88.3,27.406
25279,106.4,27.516
25279,103.4,27.63
25322,89.6,27.972
25758,107.8,28.349
25126,103.4,29.362
25260,107.4,29.802
25845,107.3,30.739
25845,89.1,30.739
25845,94.4,30.739
25740,88.3,30.834
25151,91.6,30.843
25769,94.4,32.185
25322,88.3,32.247
25645,94.4,33.708
25899,96.3,33.728
25099,107.6,34.275
25817,94.4,34.738
25386,102.3,35.555
25817,101.5,35.757
25269,94.4,36.307
25898,88.4,37.216
25797,88.4,37.245
25326,99.4,37.745
25269,91.4,38.825
25281,89.6,39.755
25281,106.5,39.755
25898,95.4,40.111
25312,91.6,40.128
25295,91.6,40.23
25899,107.4,40.499
25326,106.4,41.205
25658,106.6,42.197
25245,107.4,42.898
25295,99.5,42.931
25743,106.4,43.898
25200,88.3,44.075
25594,88.6,44.077
25594,107.6,44.077
25372,107.4,45.13
25372,91.4,45.398
25386,99.5,45.583
25019,103.7,45.685
25040,95.6,46.637
25123,89.6,46.638
25486,107.8,47.08
25777,88.4,47.239
25777,89.6,47.328
25339,88.2,47.476
25402,107.8,47.603
50686,107.8,48.448
25299,101.3,49.476
25299,88.6,50.017
25535,91.6,50.168
25290,94.4,50.426
25736,105.6,50.52
25736,92.2,50.523
25736,107.4,50.523
25297,94.4,51.808
25328,88.4,52.177
25718,92.1,52.232
50245,88.8,52.281
25339,106.4,52.356
25513,106.3,52.588
25596,104.3,53.658
25596,94.4,53.658
50245,102.9,54.199
50245,100.1,54.199
25290,88.1,54.535
25513,94.4,54.718
25772,94.4,55.699
25491,107.4,56.341
25035,92.6,56.354
25335,107.7,57.541
25862,88.3,57.853
25293,106.4,57.912
25095,107.4,58.006
25878,91.6,58.277
25839,107.8,58.435
25867,106.4,58.716
25875,106.4,58.996
25805,107.4,59.049
25793,89.1,60.263
25793,102.4,61.358
25489,95.1,61.968
25489,96.5,61.968
25815,105.3,62.522
25599,106.7,62.575
25290,103.3,62.607
25599,98.9,62.836
25053,97.7,65.335
25183,101.3,65.386
25258,107.4,65.946
25662,91.6,65.997
25875,101.3,66.008
25168,94.4,66.398
25426,106.4,66.66
25781,88.3,67.703
25436,95.8,67.778
25592,88.4,68.031
25871,106.4,68.054
25871,95.8,68.09
25649,98.3,68.151
25649,102.6,68.151
25436,88.3,68.603
25398,89.1,68.933
25258,98.3,69.276
50606,89.8,69.698
15325,99.1,70.085
15325,107.1,70.305
25183,89.3,70.642
25843,98.8,70.755
50001,104.3,71.117
50001,90.8,71.117
50001,97.3,71.138
50001,90.3,71.183
50001,106.3,71.2
50001,105.3,71.212
50001,98.3,71.216
25224,93.2,71.223
25224,97.1,71.223
50689,96.3,71.232
25001,90.3,71.332
50001,101.8,71.386
25368,97.1,72.151
50606,94.8,72.328
25524,107.2,72.334
25653,93.5,73.022
25653,107.8,73.022
25580,107.8,73.17
25807,107.8,73.767
25807,104.3,73.781
25851,103.1,73.806
25851,107.4,73.806
15322,98.6,73.861
25815,107.8,74.307
50001,91.8,74.533
25488,104.7,74.891
25488,88.6,75.018
25488,94.4,75.057
25001,106.7,76.028
25807,96.2,76.189
73449,106.7,76.324
73449,89.8,76.325
25154,103.7,76.641
15761,105.1,76.886
25320,88.3,77.15
25320,107.2,77.15
25086,102.6,77.395
73352,94.7,77.494
73352,89.7,77.499
73449,101.5,77.538
25518,88.3,77.78
50226,102.3,77.815
25518,99.4,77.862
25518,90.1,77.862
25873,107.4,77.988
15761,100.6,78.115
25823,91.6,78.179
25154,94.4,78.351
50001,93.2,78.615
50001,107.8,78.631
15778,94.1,78.976
25843,107.4,79.225
15236,90.6,79.464
73030,90.7,79.626
73030,94.5,79.626
25407,94.4,79.917
25438,91.6,80.258
25873,103.3,80.501
25506,107.4,80.51
25320,96.3,80.767
15236,88.9,81.051
15022,103.9,81.11
15022,89.6,81.604
50006,88.8,81.79
15380,96.6,81.928
15798,90.6,82.588
50226,89.1,82.636
25394,107.1,82.655
15798,98.1,82.947
25324,107.1,83.5
25288,101.3,84.918
25612,100.7,85.783
50006,88.3,86.743
50006,98.8,86.748
15425,96.6,87.889
15425,102.5,87.893
25317,106.4,88.221
15212,98.6,88.547
15842,90.6,88.881
15511,99.1,89.089
15842,106.1,89.564
15690,98.6,89.88
15690,91.1,89.933
25148,107.4,90.097
15299,106.6,90.129
25612,91.1,90.347
25120,94.4,90.601
25530,95.8,90.706
25483,92.8,90.738
25779,107.8,90.925
73547,89.0,92.602
50318,107.3,92.612
25885,107.8,92.962
25307,89.3,93.288
73275,93.6,93.288
73275,94.5,93.297
15172,89.6,93.3
25885,91.1,93.308
25307,91.6,93.32
15109,90.6,93.641
50318,94.8,93.93
73148,94.5,94.425
15480,99.1,94.446
15835,94.1,94.771
73349,90.5,94.901
73349,106.1,95.007
15580,103.1,95.06
15580,100.6,95.06
25745,90.2,95.452
25745,88.3,95.48
15401,90.6,96.156
50150,95.6,96.776
73408,95.1,97.053
73861,94.5,97.11
15442,106.6,97.131
15442,94.6,97.214
73349,107.3,97.821
73226,95.1,97.833
15861,106.6,97.995
50223,103.3,99.074
73226,102.6,99.156
15667,92.1,99.331
15667,94.1,99.331
15131,94.1,99.645
73055,92.7,99.752
15676,96.6,99.836
25530,94.4,100.202
15494,96.6,100.242
73026,98.7,100.366
73408,98.2,100.446
73026,95.1,100.518
15804,97.6,101.636
15804,100.6,101.7
73873,96.6,101.85
50150,93.8,102.181
73200,104.0,103.17
73200,95.0,103.17
50223,107.8,104.289
73547,107.3,104.308
15646,100.6,105.465
15600,99.1,105.887
15176,104.6,106.342
15367,92.6,106.548
15176,107.1,107.532
50270,103.7,107.656
15531,89.6,107.874
15681,94.1,108.377
73443,99.5,109.093
73443,101.7,109.098
73443,107.3,109.208
15367,89.6,109.658
25572,104.6,109.945
25572,106.4,109.945
73770,107.9,109.945
15808,90.6,109.979
73268,95.1,110.271
73268,97.1,110.342
25572,107.6,110.494
25572,94.1,110.495
17380,88.4,110.657
17380,89.1,110.657
73270,94.5,110.731
15176,92.6,110.865
73770,94.5,111.109
17380,94.7,111.259
73411,103.5,111.274
15104,90.6,111.587
15135,89.1,112.384
15599,88.8,113.167
15507,106.6,113.216
15106,100.6,113.526
15135,106.9,113.564
15638,94.1,113.582
73411,93.5,114.039
85300,103.7,114.139
85300,96.7,114.139
73043,107.3,115.398
50689,88.8,115.549
15638,101.6,115.675
15832,90.6,115.893
15599,95.1,115.944
15455,104.7,116.004
15632,98.6,116.141
15455,98.6,116.353
15776,100.6,116.401
15224,89.6,116.968
15189,94.1,117.332
73520,107.3,117.898
15001,93.6,118.222
15897,90.6,118.426
15001,102.6,118.452
15632,95.3,118.454
17867,93.7,118.6
17867,107.9,118.657
15897,91.6,118.732
15001,101.1,118.798
15001,95.6,118.833
17867,97.7,119.19
15762,98.9,119.309
15762,96.6,119.314
15407,105.8,119.493
15879,98.6,119.613
15001,99.3,120.177
15001,94.5,120.177
15621,96.6,120.323
15514,96.6,120.565
73283,93.5,120.853
73283,100.5,120.929
15090,100.6,121.09
15407,91.3,121.142
50110,107.8,121.264
68020,91.2,121.444
15001,102.1,121.453
50110,98.9,121.481
50110,97.8,121.503
15407,106.6,121.562
73585,97.5,121.938
15764,104.9,122.29
15764,98.3,122.29
15407,91.8,122.895
15660,106.6,123.548
73870,90.7,124.185
73870,90.2,124.185
73319,95.0,124.372
15232,98.6,124.587
73319,93.1,124.911
73319,92.7,124.911
68271,88.8,125.42
68271,91.7,125.702
73461,94.5,125.82
73461,92.0,125.826
15696,96.6,125.889
